ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
2;VRbio;6;147;0,0025598;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,189402
2;VRbio;6;148;0,0026177;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,191865
2;VRbio;6;149;0,0026777;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,19455
2;VRbio;6;150;0,0027775;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,197335
2;VRbio;6;151;0,0026;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,199937
2;VRbio;6;152;0,0024896;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,202411
2;VRbio;6;153;0,0024366;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,204858
2;VRbio;6;154;0,0025016;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,207352
2;VRbio;6;155;0,0024842;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,210019
2;VRbio;6;156;0,0031057;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,212952
2;VRbio;6;157;0,0030009;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,215951
2;VRbio;6;158;0,002693;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,218648
2;VRbio;6;159;0,002532;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,221174
2;VRbio;6;160;0,0028193;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,224018
2;VRbio;6;161;0,0026318;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,226622
2;VRbio;6;162;0,0032172;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,230001
2;VRbio;6;163;0,0027256;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,232561
2;VRbio;6;164;0,0025549;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,235141
2;VRbio;6;165;0,0025839;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,237701
2;VRbio;6;166;0,0026278;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,240334
2;VRbio;6;167;0,0027853;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,243121
2;VRbio;6;168;0,002615;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,245733
2;VRbio;6;169;0,0025954;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,248329
2;VRbio;6;170;0,0026257;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,251103
2;VRbio;6;171;0,0027367;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,25371
2;VRbio;6;172;0,0025464;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,256246
2;VRbio;6;173;0,0025083;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,258737
2;VRbio;6;174;0,0026131;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,261358
2;VRbio;6;175;0,0028977;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,264263
2;VRbio;6;176;0,00265;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,266901
2;VRbio;6;177;0,0024305;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,269466
2;VRbio;6;178;0,00272;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,272057
2;VRbio;6;179;0,0026836;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,274746
2;VRbio;6;180;0,0028107;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,27755
2;VRbio;6;181;0,0025929;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,28015
2;VRbio;6;182;0,0024839;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,282625
2;VRbio;6;183;0,0026915;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,285323
2;VRbio;6;184;0,0025703;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,287883
2;VRbio;6;185;0,0024711;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,290497
2;VRbio;6;186;0,0025921;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,292943
2;VRbio;6;187;0,0031598;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,296131
2;VRbio;6;188;0,002696;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,298802
2;VRbio;6;189;0,0024453;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,301257
2;VRbio;6;190;0,0026543;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,303906
2;VRbio;6;191;0,0024666;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,306373
2;VRbio;6;192;0,0025964;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,309106
2;VRbio;6;193;0,0027843;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,311764
2;VRbio;6;194;0,002705;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,314466
2;VRbio;6;195;0,0025091;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,316965
2;VRbio;6;196;0,0029891;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,319966
2;VRbio;6;197;0,0025983;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,322561
2;VRbio;6;198;0,0026897;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,325309
2;VRbio;6;199;0,0028369;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,32809
2;VRbio;6;200;0,0030199;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,331538
2;VRbio;6;201;0,0031326;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,334243
2;VRbio;6;202;0,0025263;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,336755
2;VRbio;6;203;0,0028879;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,339657
2;VRbio;6;204;0,0026963;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,342364
2;VRbio;6;205;0,0025285;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,344886
